Movie Name,Movie Link,carflo ratings,hitchcockthelegend
Blade: The Series,https://www.imdb.com/title/tt0823333/,6.3,NA
Blade: Trinity,https://www.imdb.com/title/tt0359013/,5.9,NA
The Next Three Days,https://www.imdb.com/title/tt1458175/,7.4,NA
End of Days,https://www.imdb.com/title/tt0146675/,5.8,NA
RED,https://www.imdb.com/title/tt1245526/,7.0,NA
Cowboys & Aliens,https://www.imdb.com/title/tt0409847/,6.0,NA
TRON: Legacy,https://www.imdb.com/title/tt1104001/,6.8,NA
Murder by Decree,https://www.imdb.com/title/tt0079592/,6.9,NA
Constantine,https://www.imdb.com/title/tt0360486/,7.0,NA
The Three Burials of Melquiades Estrada,https://www.imdb.com/title/tt0419294/,7.4,NA
Last Train from Gun Hill,https://www.imdb.com/title/tt0052993/,7.4,NA
Clash of the Titans,https://www.imdb.com/title/tt0800320/,5.8,NA
Darkening Sky,https://www.imdb.com/title/tt1502402/,4.4,NA
Quigley Down Under,https://www.imdb.com/title/tt0102744/,6.9,NA
Telefon,https://www.imdb.com/title/tt0076804/,6.6,NA
The Lazarus Project,https://www.imdb.com/title/tt0464041/,6.1,NA
The King's Speech,https://www.imdb.com/title/tt1504320/,8.0,NA
Seven Brides for Seven Brothers,https://www.imdb.com/title/tt0047472/,7.4,NA
The Mikado,https://www.imdb.com/title/tt0031650/,6.4,NA
The Invasion,https://www.imdb.com/title/tt0427392/,5.9,NA
High Society,https://www.imdb.com/title/tt0049314/,7.0,NA
South Pacific,https://www.imdb.com/title/tt0052225/,6.8,5
St. Ives,https://www.imdb.com/title/tt0075263/,6.3,NA
The Omen,https://www.imdb.com/title/tt0466909/,5.5,NA
Sherlock Holmes,https://www.imdb.com/title/tt1522835/,3.6,NA
Knowing,https://www.imdb.com/title/tt0448011/,6.2,NA
Electra,https://www.imdb.com/title/tt0055950/,7.6,NA
Angel Eyes,https://www.imdb.com/title/tt0225071/,5.6,NA
Cat on a Hot Tin Roof,https://www.imdb.com/title/tt0051459/,8.0,NA
Xanadu,https://www.imdb.com/title/tt0081777/,5.2,NA
Jesus Christ Superstar,https://www.imdb.com/title/tt0070239/,7.4,NA
A Taste of Evil,https://www.imdb.com/title/tt0067828/,6.7,NA
The Little Shop of Horrors,https://www.imdb.com/title/tt0054033/,6.3,NA
The Inn of the Sixth Happiness,https://www.imdb.com/title/tt0051776/,7.3,NA
The Vagabond King,https://www.imdb.com/title/tt0049909/,5.3,NA
Dracula's Guest,https://www.imdb.com/title/tt1196618/,2.8,NA
The Time Traveler's Wife,https://www.imdb.com/title/tt0452694/,7.1,NA
The Message,https://www.imdb.com/title/tt0074896/,8.2,NA
Fangs,https://www.imdb.com/title/tt0282483/,3.3,NA
The Fury,https://www.imdb.com/title/tt0077588/,6.4,NA
Bled,https://www.imdb.com/title/tt0997143/,2.9,NA
Dracula,https://www.imdb.com/title/tt0287846/,4.3,NA
Those Love Pangs,https://www.imdb.com/title/tt0004693/,5.5,NA
Tillie's Punctured Romance,https://www.imdb.com/title/tt0004707/,6.3,NA
The Rounders,https://www.imdb.com/title/tt0004546/,6.3,NA
The Masquerader,https://www.imdb.com/title/tt0004311/,6.0,NA
His New Profession,https://www.imdb.com/title/tt0004101/,6.0,NA
Dough and Dynamite,https://www.imdb.com/title/tt0003863/,6.0,NA
The New Janitor,https://www.imdb.com/title/tt0004395/,6.1,NA
Caught in the Rain,https://www.imdb.com/title/tt0003760/,5.7,NA
The Property Man,https://www.imdb.com/title/tt0004499/,5.8,NA
A Busy Day,https://www.imdb.com/title/tt0003733/,4.8,NA
The Fatal Mallet,https://www.imdb.com/title/tt0003934/,5.5,NA
The Knockout,https://www.imdb.com/title/tt0004194/,5.8,NA
Man's Best Friend,https://www.imdb.com/title/tt0107504/,5.2,NA
Mabel's Married Life,https://www.imdb.com/title/tt0004282/,5.7,NA
Laughing Gas,https://www.imdb.com/title/tt0004210/,5.8,NA
Recreation,https://www.imdb.com/title/tt0004518/,5.1,NA
The Face on the Barroom Floor,https://www.imdb.com/title/tt0003923/,5.2,NA
Mabel's Busy Day,https://www.imdb.com/title/tt0004280/,5.5,NA
The Book of Eli,https://www.imdb.com/title/tt1037705/,6.9,NA
War of the Worlds,https://www.imdb.com/title/tt0449040/,3.2,NA
Supernova,https://www.imdb.com/title/tt0134983/,4.9,NA
The Ward,https://www.imdb.com/title/tt1369706/,5.6,NA
Wolves of Wall Street,https://www.imdb.com/title/tt0339918/,2.7,NA
Kings of the Sun,https://www.imdb.com/title/tt0057225/,6.2,NA
Valkyrie,https://www.imdb.com/title/tt0985699/,7.1,NA
Unknown,https://www.imdb.com/title/tt1401152/,6.8,NA
Snow White: A Tale of Terror,https://www.imdb.com/title/tt0119227/,6.2,NA
Season of the Witch,https://www.imdb.com/title/tt0479997/,5.4,NA
Flu Bird Horror,https://www.imdb.com/title/tt1282045/,3.1,NA
Manos: The Hands of Fate,https://www.imdb.com/title/tt0060666/,1.9,NA
Pulse,https://www.imdb.com/title/tt0095924/,5.5,NA
Pandorum,https://www.imdb.com/title/tt1188729/,6.7,NA
Morning Glory,https://www.imdb.com/title/tt1126618/,6.5,NA
Robin Hood,https://www.imdb.com/title/tt0955308/,6.6,NA
Stigmata,https://www.imdb.com/title/tt0145531/,6.2,NA
Green Lantern,https://www.imdb.com/title/tt1133985/,5.5,NA
4D Man,https://www.imdb.com/title/tt0052530/,5.8,NA
The Burrowers,https://www.imdb.com/title/tt0445939/,5.7,NA
Retroactive,https://www.imdb.com/title/tt0117468/,6.2,NA
Thor,https://www.imdb.com/title/tt0800369/,7.0,NA
The Courtship of Eddie's Father,https://www.imdb.com/title/tt0063887/,7.2,NA
Rambo III,https://www.imdb.com/title/tt0095956/,5.8,NA
Circle of Iron,https://www.imdb.com/title/tt0078975/,5.9,NA
When a Stranger Calls,https://www.imdb.com/title/tt0080130/,6.5,NA
The Lincoln Lawyer,https://www.imdb.com/title/tt1189340/,7.3,NA
Darkness Falls,https://www.imdb.com/title/tt0282209/,5.0,NA
X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,6.6,NA
Dead & Buried,https://www.imdb.com/title/tt0082242/,6.6,NA
The Eagle,https://www.imdb.com/title/tt1034389/,6.2,NA
Tales That Witness Madness,https://www.imdb.com/title/tt0070770/,5.7,NA
Let the Right One In,https://www.imdb.com/title/tt1139797/,7.9,NA
Bagdad Cafe,https://www.imdb.com/title/tt0095801/,7.4,NA
Billy Elliot,https://www.imdb.com/title/tt0249462/,7.7,NA
Battleship Potemkin,https://www.imdb.com/title/tt0015648/,8.0,NA
The Legend of Hell House,https://www.imdb.com/title/tt0070294/,6.7,NA
Kiss Me Deadly,https://www.imdb.com/title/tt0048261/,7.6,NA
Entrapment,https://www.imdb.com/title/tt0137494/,6.3,NA
Let Me In,https://www.imdb.com/title/tt1228987/,7.1,NA
Hangar 18,https://www.imdb.com/title/tt0080836/,5.3,NA
Surrogates,https://www.imdb.com/title/tt0986263/,6.3,NA
3:10 to Yuma,https://www.imdb.com/title/tt0381849/,7.7,NA
True Grit,https://www.imdb.com/title/tt1403865/,7.6,NA
The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,7.8,NA
Night of the Comet,https://www.imdb.com/title/tt0087799/,6.4,NA
Tin Man,https://www.imdb.com/title/tt0910812/,7.2,NA
Das Inferno - Flammen über Berlin,https://www.imdb.com/title/tt0800028/,5.0,NA
Dog Soldiers,https://www.imdb.com/title/tt0280609/,6.8,NA
The Hunchback of Notre Dame,https://www.imdb.com/title/tt0050781/,6.7,NA
Laser Mission,https://www.imdb.com/title/tt0099978/,3.5,NA
"Abraxas, Guardian of the Universe",https://www.imdb.com/title/tt0101264/,2.8,NA
The Green Hornet,https://www.imdb.com/title/tt0990407/,5.8,NA
100 Feet,https://www.imdb.com/title/tt0899128/,5.5,NA
Hydra,https://www.imdb.com/title/tt1034447/,3.2,NA
Kronos,https://www.imdb.com/title/tt0050610/,5.8,NA
Léon: The Professional,https://www.imdb.com/title/tt0110413/,8.5,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.8,NA
"Lord, Save Us from Your Followers",https://www.imdb.com/title/tt1237900/,7.1,NA
Baseball,https://www.imdb.com/title/tt0108700/,9.2,NA
Cronos,https://www.imdb.com/title/tt0104029/,6.7,NA
Modern Times,https://www.imdb.com/title/tt0027977/,8.5,NA
Triangle,https://www.imdb.com/title/tt1187064/,6.9,NA
Hereafter,https://www.imdb.com/title/tt1212419/,6.4,NA
The Descent,https://www.imdb.com/title/tt0435625/,7.2,NA
Doomsday,https://www.imdb.com/title/tt0483607/,6.0,NA
Knight and Day,https://www.imdb.com/title/tt1013743/,6.3,NA
District 9,https://www.imdb.com/title/tt1136608/,7.9,NA
Agora,https://www.imdb.com/title/tt1186830/,7.2,NA
Half Light,https://www.imdb.com/title/tt0412798/,6.0,NA
Skyline,https://www.imdb.com/title/tt1564585/,4.4,NA
Black Swan,https://www.imdb.com/title/tt0947798/,8.0,NA
Secretariat,https://www.imdb.com/title/tt1028576/,7.2,NA
A Tale of Two Cities,https://www.imdb.com/title/tt0027075/,7.8,NA
The Librarian: The Curse of the Judas Chalice,https://www.imdb.com/title/tt1146438/,6.5,NA
The Steam Experiment,https://www.imdb.com/title/tt1289437/,3.9,NA
The Outsiders,https://www.imdb.com/title/tt0086066/,7.1,NA
MacArthur,https://www.imdb.com/title/tt0076342/,6.6,NA
Leave Her to Heaven,https://www.imdb.com/title/tt0037865/,7.6,NA
The Killer Inside Me,https://www.imdb.com/title/tt0954947/,6.1,NA
The Day the Earth Stood Still,https://www.imdb.com/title/tt0970416/,5.5,NA
No Man's Land: The Rise of Reeker,https://www.imdb.com/title/tt1090671/,4.8,NA
Street Fighter: The Legend of Chun-Li,https://www.imdb.com/title/tt0891592/,3.7,NA
Princess Kaiulani,https://www.imdb.com/title/tt1185344/,6.2,NA
Zulu Dawn,https://www.imdb.com/title/tt0080180/,6.6,NA
Star Trek: Insurrection,https://www.imdb.com/title/tt0120844/,6.4,NA
My Blue Heaven,https://www.imdb.com/title/tt0100212/,6.3,NA
Ice Castles,https://www.imdb.com/title/tt1411276/,6.3,NA
The Breed,https://www.imdb.com/title/tt0455362/,5.1,NA
Vantage Point,https://www.imdb.com/title/tt0443274/,6.6,NA
City by the Sea,https://www.imdb.com/title/tt0269095/,6.1,NA
The Librarian: Return to King Solomon's Mines,https://www.imdb.com/title/tt0455596/,6.2,NA
The Fog,https://www.imdb.com/title/tt0432291/,3.7,9
Serendipity,https://www.imdb.com/title/tt0240890/,6.9,NA
The Jackal,https://www.imdb.com/title/tt0119395/,6.4,NA
Days of Heaven,https://www.imdb.com/title/tt0077405/,7.9,NA
Wuthering Heights,https://www.imdb.com/title/tt0066585/,6.5,NA
Lord of the Flies,https://www.imdb.com/title/tt0100054/,6.4,NA
Darkman,https://www.imdb.com/title/tt0099365/,6.4,NA
Wuthering Heights,https://www.imdb.com/title/tt0032145/,7.6,NA
The Little Princess,https://www.imdb.com/title/tt0031580/,7.2,NA
La monja,https://www.imdb.com/title/tt0371853/,4.0,NA
Medium,https://www.imdb.com/title/tt0412175/,6.9,NA
King Arthur,https://www.imdb.com/title/tt0349683/,6.3,NA
Maximum Risk,https://www.imdb.com/title/tt0117011/,5.5,NA
First Knight,https://www.imdb.com/title/tt0113071/,6.0,NA
Jamaica Inn,https://www.imdb.com/title/tt0031505/,6.3,NA
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3,NA
Rope,https://www.imdb.com/title/tt1679278/,7.3,NA
High Plains Drifter,https://www.imdb.com/title/tt0068699/,7.5,NA
Quantum of Solace,https://www.imdb.com/title/tt0830515/,6.6,NA
Splice,https://www.imdb.com/title/tt1017460/,5.7,NA
Ip Man,https://www.imdb.com/title/tt1220719/,8.0,NA
The Ten Commandments,https://www.imdb.com/title/tt0443412/,5.2,NA
Hercules,https://www.imdb.com/title/tt0420408/,5.7,NA
Twin Daggers,https://www.imdb.com/title/tt1266149/,3.1,NA
East of Shanghai,https://www.imdb.com/title/tt0023395/,5.8,NA
A Golden Christmas,https://www.imdb.com/title/tt1489248/,5.6,NA
Pancho Villa,https://www.imdb.com/title/tt0069057/,4.8,NA
The Da Vinci Code,https://www.imdb.com/title/tt0382625/,6.6,NA
Angels & Demons,https://www.imdb.com/title/tt0808151/,6.7,NA
A Town Called Hell,https://www.imdb.com/title/tt0067870/,4.9,NA
Dorian Gray,https://www.imdb.com/title/tt1235124/,6.3,NA
Humanity's End,https://www.imdb.com/title/tt1249453/,3.6,NA
Cursed,https://www.imdb.com/title/tt0257516/,5.0,NA
Proof of Life,https://www.imdb.com/title/tt0228750/,6.2,NA
 Great Performances,https://www.imdb.com/title/tt0159876/,7.6,NA
Bats,https://www.imdb.com/title/tt0200469/,3.9,NA
Changing Lanes,https://www.imdb.com/title/tt0264472/,6.4,NA
Wrong Turn,https://www.imdb.com/title/tt0295700/,6.1,NA
Severed,https://www.imdb.com/title/tt0428390/,4.6,NA
Legend of the Bog,https://www.imdb.com/title/tt0928375/,3.1,NA
A Knight's Tale,https://www.imdb.com/title/tt0183790/,6.9,NA
Avatar,https://www.imdb.com/title/tt0499549/,7.8,NA
Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,NA
Fried Green Tomatoes,https://www.imdb.com/title/tt0101921/,7.7,NA
 Fringe,https://www.imdb.com/title/tt1119644/,6.9,NA
Philadelphia,https://www.imdb.com/title/tt0107818/,7.7,9
Paths of Glory,https://www.imdb.com/title/tt0050825/,8.4,NA
The Leopard,https://www.imdb.com/title/tt0057091/,8.0,NA
Alice in Wonderland,https://www.imdb.com/title/tt1014759/,6.4,NA
Paycheck,https://www.imdb.com/title/tt0338337/,6.3,NA
Robot Monster,https://www.imdb.com/title/tt0046248/,3.0,NA
Aliens,https://www.imdb.com/title/tt0090605/,8.3,NA
Million Dollar Baby,https://www.imdb.com/title/tt0405159/,8.1,NA
Shutter Island,https://www.imdb.com/title/tt1130884/,8.1,NA
The Crazies,https://www.imdb.com/title/tt0455407/,6.5,NA
Crazy Heart,https://www.imdb.com/title/tt1263670/,7.2,NA
Disclosure,https://www.imdb.com/title/tt0109635/,6.1,NA
 Nature,https://www.imdb.com/title/tt0083452/,8.7,NA
The Trip to Bountiful,https://www.imdb.com/title/tt0090203/,7.5,NA
The Lovely Bones,https://www.imdb.com/title/tt0380510/,6.7,NA
Persuasion,https://www.imdb.com/title/tt0844330/,7.5,NA
Dark Matter,https://www.imdb.com/title/tt0416675/,6.0,NA
The No. 1 Ladies' Detective Agency,https://www.imdb.com/title/tt1356380/,8.2,NA
The Godfather,https://www.imdb.com/title/tt0068646/,9.2,NA
The Godfather: Part III,https://www.imdb.com/title/tt0099674/,7.6,NA
The Godfather: Part II,https://www.imdb.com/title/tt0071562/,9.0,NA
Nature,https://www.imdb.com/title/tt0083452/,8.9,NA
The Blind Side,https://www.imdb.com/title/tt0878804/,7.6,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.2,NA
Volcanoes of the Deep Sea,https://www.imdb.com/title/tt0331068/,6.9,NA
 Nova,https://www.imdb.com/title/tt0206501/,7.9,NA
 Fringe,https://www.imdb.com/title/tt1119644/,9.3,NA
 Fringe,https://www.imdb.com/title/tt1119644/,9.1,NA
 Nature,https://www.imdb.com/title/tt0083452/,7.7,NA
Sherlock Holmes,https://www.imdb.com/title/tt0988045/,7.6,NA
She Drives Me Crazy,https://www.imdb.com/title/tt1073656/,6.1,NA
Just Like Heaven,https://www.imdb.com/title/tt0425123/,6.7,NA
Jesse Stone: No Remorse,https://www.imdb.com/title/tt1315216/,7.3,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.5,NA
Up in the Air,https://www.imdb.com/title/tt1193138/,7.4,NA
Shadow of a Doubt,https://www.imdb.com/title/tt0036342/,7.9,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.8,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.0,NA
 Fringe,https://www.imdb.com/title/tt1119644/,9.3,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,7.1,NA
2012,https://www.imdb.com/title/tt1190080/,5.8,NA
Julie & Julia,https://www.imdb.com/title/tt1135503/,7.0,NA
Zombieland,https://www.imdb.com/title/tt1156398/,7.6,NA
Fringe,https://www.imdb.com/title/tt1119644/,8.4,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,6.8,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,7.2,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,7.4,NA
A Supercarrier Is Burning: U.S.S. Enterprise,https://www.imdb.com/title/tt0362205/,8.5,NA
 Fringe,https://www.imdb.com/title/tt1119644/,9.5,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,6.3,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,8.3,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,7.3,NA
 Nova,https://www.imdb.com/title/tt0206501/,7.3,NA
 The Outer Limits,https://www.imdb.com/title/tt0056777/,7.3,NA
 American Experience,https://www.imdb.com/title/tt0094416/,7.0,NA
The People Under the Stairs,https://www.imdb.com/title/tt0105121/,6.4,NA
What Lies Beneath,https://www.imdb.com/title/tt0161081/,6.6,NA
The President's Man: A Line in the Sand,https://www.imdb.com/title/tt0304584/,4.4,NA
The President's Man,https://www.imdb.com/title/tt0234516/,4.8,NA
Logan's War: Bound by Honor,https://www.imdb.com/title/tt0176943/,5.4,NA
Bright Star,https://www.imdb.com/title/tt0810784/,6.9,NA
WarGames: The Dead Code,https://www.imdb.com/title/tt0865957/,4.6,NA
The Pelican Brief,https://www.imdb.com/title/tt0107798/,6.6,NA
The Asphalt Jungle,https://www.imdb.com/title/tt0042208/,7.9,NA
Not Forgotten,https://www.imdb.com/title/tt1127221/,4.8,NA
Twisted,https://www.imdb.com/title/tt0315297/,5.3,NA
Basic,https://www.imdb.com/title/tt0264395/,6.5,NA
Tinker Bell and the Lost Treasure,https://www.imdb.com/title/tt1216516/,6.7,NA
A Fistful of Dollars,https://www.imdb.com/title/tt0058461/,8.0,NA
The Matrix Revolutions,https://www.imdb.com/title/tt0242653/,6.7,NA
The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,7.2,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.9,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.3,NA
 Fringe,https://www.imdb.com/title/tt1119644/,9.1,NA
Transporter 2,https://www.imdb.com/title/tt0388482/,6.3,NA
The Transporter,https://www.imdb.com/title/tt0293662/,6.8,NA
Thrill of the Kill,https://www.imdb.com/title/tt0819129/,4.9,NA
Mercenary for Justice,https://www.imdb.com/title/tt0427528/,4.1,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.3,NA
The Unborn,https://www.imdb.com/title/tt1139668/,4.8,NA
This Could Be the Night,https://www.imdb.com/title/tt0051074/,6.7,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.2,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.8,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.9,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.1,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.8,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.9,NA
 Fringe,https://www.imdb.com/title/tt1119644/,7.8,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.5,NA
 Fringe,https://www.imdb.com/title/tt1119644/,8.0,NA
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7,NA
The Secret of Hidden Lake,https://www.imdb.com/title/tt0843867/,4.8,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.7,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.7,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.7,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.3,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.8,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.8,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.6,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.2,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.1,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.6,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.9,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.3,NA
Star Trek,https://www.imdb.com/title/tt0796366/,7.9,NA
Tales from the Darkside: The Movie,https://www.imdb.com/title/tt0100740/,6.3,NA
The Maltese Falcon,https://www.imdb.com/title/tt0022111/,6.9,NA
Satan Met a Lady,https://www.imdb.com/title/tt0028219/,6.0,NA
Christmas Town,https://www.imdb.com/title/tt1330015/,5.2,NA
Dexter,https://www.imdb.com/title/tt0773262/,8.6,NA
Amnesia,https://www.imdb.com/title/tt0398414/,7.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.3,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.9,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,9.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.1,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.2,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.6,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.4,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.0,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.3,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,7.9,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.6,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.5,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.1,NA
 The X-Files,https://www.imdb.com/title/tt0106179/,8.1,NA
